n_objetivos,problema,indicador,hiperparam_ind_conv,0,1,2,3,4,5,6,7,8,9,10
2,DTLZ1,eps+,IGD+,0,0,0,0,0,0,0,0,0,0,0
2,DTLZ1,eps+,R2,0,0,1,3,0,0,0,0,0,0,0
2,DTLZ1,hv,IGD+,0,0,0,0,0,1,2,3,2,0,0
2,DTLZ1,hv,R2,0,0,1,5,0,0,0,0,1,0,0
2,DTLZ1,igd,IGD+,0,2,0,0,0,0,0,0,0,0,3
2,DTLZ1,igd,R2,0,0,0,0,3,1,0,0,1,5,0
2,DTLZ1,igd+,IGD+,0,0,0,0,0,1,0,3,0,0,0
2,DTLZ1,igd+,R2,0,0,1,6,0,0,0,0,1,0,0
2,DTLZ1,r2,IGD+,4,0,0,0,1,0,0,0,0,0,2
2,DTLZ1,r2,R2,1,0,0,0,1,1,0,1,1,3,0
2,DTLZ1,s-energy,IGD+,6,0,0,0,3,0,0,0,0,0,2
2,DTLZ1,s-energy,R2,1,0,0,0,0,1,1,0,0,2,0
2,DTLZ1,spd,IGD+,4,0,3,4,0,0,0,0,0,0,0
2,DTLZ1,spd,R2,1,0,0,0,1,1,0,1,0,3,0
2,DTLZ2,eps+,IGD+,0,1,1,0,1,4,1,0,2,1,0
2,DTLZ2,eps+,R2,0,0,0,0,5,0,0,0,0,0,0
2,DTLZ2,hv,IGD+,0,0,0,0,3,4,1,2,2,0,0
2,DTLZ2,hv,R2,0,5,0,0,0,0,7,0,0,0,0
2,DTLZ2,igd,IGD+,0,0,1,0,1,0,0,0,0,0,0
2,DTLZ2,igd,R2,0,0,0,0,0,0,0,0,2,0,0
2,DTLZ2,igd+,IGD+,0,0,1,0,2,0,0,3,0,0,1
2,DTLZ2,igd+,R2,0,0,1,0,5,0,0,0,0,0,1
2,DTLZ2,r2,IGD+,0,1,0,1,1,0,0,0,0,1,0
2,DTLZ2,r2,R2,0,0,0,0,0,0,0,0,0,0,0
2,DTLZ2,s-energy,IGD+,1,2,0,0,4,2,1,1,1,0,0
2,DTLZ2,s-energy,R2,1,0,1,1,0,0,0,0,2,0,1
2,DTLZ2,spd,IGD+,5,4,4,2,4,2,1,1,1,1,0
2,DTLZ2,spd,R2,1,1,0,0,1,0,0,1,0,0,0
